seq,stock_code,stock_name,percent,holding_number,holding_value,season,fund_code
1,300438,鹏辉能源,6.4,587.41,36096.38,2022年2季度股票投资明细,001532
2,002340,格林美,3.73,2313.92,21056.69,2022年2季度股票投资明细,001532
3,601888,中国中免,3.22,78.01,18170.61,2022年2季度股票投资明细,001532
4,300568,星源材质,3.05,593.07,17222.69,2022年2季度股票投资明细,001532
5,300613,富瀚微,2.78,184.72,15664.18,2022年2季度股票投资明细,001532
6,002196,方正电机,2.59,1498.45,14624.82,2022年2季度股票投资明细,001532
7,601567,三星医疗,2.37,1007.9,13384.95,2022年2季度股票投资明细,001532
8,603259,药明康德,2.36,128.23,13335.06,2022年2季度股票投资明细,001532
9,000516,国际医学,2.09,1092.58,11810.74,2022年2季度股票投资明细,001532
10,002555,三七互娱,2.04,541.9,11504.54,2022年2季度股票投资明细,001532
11,600559,老白干酒,1.98,390.1,11192.06,2022年2季度股票投资明细,001532
12,600258,首旅酒店,1.96,444.7,11028.57,2022年2季度股票投资明细,001532
13,300750,宁德时代,1.94,20.44,10913.95,2022年2季度股票投资明细,001532
14,000519,中兵红箭,1.83,353.09,10292.68,2022年2季度股票投资明细,001532
15,002245,蔚蓝锂芯,1.82,443.39,10291.1,2022年2季度股票投资明细,001532
16,600642,申能股份,1.79,1775.13,10082.72,2022年2季度股票投资明细,001532
17,600027,华电国际,1.73,2479.11,9742.9,2022年2季度股票投资明细,001532
18,600021,上海电力,1.64,900.04,9225.41,2022年2季度股票投资明细,001532
19,300035,中科电气,1.44,290.12,8108.85,2022年2季度股票投资明细,001532
20,002705,新宝股份,1.42,363.16,7985.89,2022年2季度股票投资明细,001532
21,600011,华能国际,1.28,1024.69,7213.82,2022年2季度股票投资明细,001532
22,002812,恩捷股份,1.24,27.94,6997.7,2022年2季度股票投资明细,001532
23,600884,杉杉股份,1.23,233.86,6950.32,2022年2季度股票投资明细,001532
24,603026,石大胜华,1.22,47.19,6859.1,2022年2季度股票投资明细,001532
25,002935,天奥电子,1.11,274.85,6269.34,2022年2季度股票投资明细,001532
26,000661,长春高新,1.1,26.69,6229.33,2022年2季度股票投资明细,001532
27,601012,隆基绿能,1.1,93.23,6211.65,2022年2季度股票投资明细,001532
28,688348,昱能科技,1.09,12.56,6129.13,2022年2季度股票投资明细,001532
29,688187,时代电气,1.08,93.95,6105.78,2022年2季度股票投资明细,001532
30,600690,海尔智家,1.06,217.76,5979.69,2022年2季度股票投资明细,001532
31,002409,雅克科技,0.94,95.29,5289.35,2022年2季度股票投资明细,001532
32,605117,德业股份,0.93,18.72,5238.98,2022年2季度股票投资明细,001532
33,601222,林洋能源,0.93,626.87,5234.36,2022年2季度股票投资明细,001532
34,301035,润丰股份,0.9,61.43,5064.96,2022年2季度股票投资明细,001532
35,002765,蓝黛科技,0.88,613.41,4950.22,2022年2季度股票投资明细,001532
36,000883,湖北能源,0.88,967.34,4943.11,2022年2季度股票投资明细,001532
37,002624,完美世界,0.86,338.68,4866.83,2022年2季度股票投资明细,001532
38,002056,横店东磁,0.84,177.49,4724.79,2022年2季度股票投资明细,001532
39,000938,紫光股份,0.82,237.44,4606.28,2022年2季度股票投资明细,001532
40,603666,亿嘉和,0.76,62.53,4289.26,2022年2季度股票投资明细,001532
41,600519,贵州茅台,0.75,2.06,4213.11,2022年2季度股票投资明细,001532
42,600886,国投电力,0.75,400.83,4208.75,2022年2季度股票投资明细,001532
43,600587,新华医疗,0.73,202.36,4097.79,2022年2季度股票投资明细,001532
44,002709,天赐材料,0.71,64.11,3978.67,2022年2季度股票投资明细,001532
45,688323,瑞华泰,0.68,158.85,3848.91,2022年2季度股票投资明细,001532
46,300015,爱尔眼科,0.66,83.76,3749.94,2022年2季度股票投资明细,001532
47,600863,内蒙华电,0.63,973.61,3553.69,2022年2季度股票投资明细,001532
48,300735,光弘科技,0.62,331.9,3468.36,2022年2季度股票投资明细,001532
49,002129,TCL中环,0.6,57.09,3362.03,2022年2季度股票投资明细,001532
50,002120,韵达股份,0.59,194.27,3314.25,2022年2季度股票投资明细,001532
51,688155,先惠技术,0.58,31.61,3294.1,2022年2季度股票投资明细,001532
52,300179,四方达,0.58,209.15,3279.54,2022年2季度股票投资明细,001532
53,600763,通策医疗,0.58,18.61,3246.33,2022年2季度股票投资明细,001532
54,603267,鸿远电子,0.57,23.75,3190.34,2022年2季度股票投资明细,001532
55,000001,平安银行,0.56,211.11,3162.43,2022年2季度股票投资明细,001532
56,300037,新宙邦,0.56,59.74,3139.87,2022年2季度股票投资明细,001532
57,300026,红日药业,0.54,396.76,3055.05,2022年2季度股票投资明细,001532
58,300759,康龙化成,0.52,30.63,2916.45,2022年2季度股票投资明细,001532
59,603233,大参林,0.49,88.15,2759.16,2022年2季度股票投资明细,001532
60,000792,盐湖股份,0.46,86.86,2602.33,2022年2季度股票投资明细,001532
61,002149,西部材料,0.46,191.2,2600.32,2022年2季度股票投资明细,001532
62,002414,高德红外,0.44,192.06,2471.79,2022年2季度股票投资明细,001532
63,600029,南方航空,0.44,337.53,2467.35,2022年2季度股票投资明细,001532
64,000976,华铁股份,0.43,566.5,2418.94,2022年2季度股票投资明细,001532
65,300782,卓胜微,0.42,17.6,2376.61,2022年2季度股票投资明细,001532
66,600529,山东药玻,0.41,82.81,2314.54,2022年2季度股票投资明细,001532
67,600216,浙江医药,0.4,166.65,2274.77,2022年2季度股票投资明细,001532
68,688677,海泰新光,0.4,24.64,2266.8,2022年2季度股票投资明细,001532
69,688166,博瑞医药,0.39,90.88,2194.7,2022年2季度股票投资明细,001532
70,002906,华阳集团,0.39,48.11,2179.97,2022年2季度股票投资明细,001532
71,300633,开立医疗,0.38,70.99,2131.81,2022年2季度股票投资明细,001532
72,002669,康达新材,0.34,142.07,1898.06,2022年2季度股票投资明细,001532
73,300384,三联虹普,0.33,99.32,1847.35,2022年2季度股票投资明细,001532
74,002108,沧州明珠,0.32,286.96,1784.87,2022年2季度股票投资明细,001532
75,002032,苏泊尔,0.3,30.49,1718.05,2022年2季度股票投资明细,001532
76,603833,欧派家居,0.28,10.48,1579.13,2022年2季度股票投资明细,001532
77,300512,中亚股份,0.27,186.87,1532.29,2022年2季度股票投资明细,001532
78,300705,九典制药,0.27,69.06,1506.89,2022年2季度股票投资明细,001532
79,003020,立方制药,0.26,50.65,1490.26,2022年2季度股票投资明细,001532
80,603919,金徽酒,0.26,43.03,1462.59,2022年2季度股票投资明细,001532
81,603897,长城科技,0.24,44.15,1375.27,2022年2季度股票投资明细,001532
82,300263,隆华科技,0.21,135.02,1209.78,2022年2季度股票投资明细,001532
83,002648,卫星化学,0.21,45.78,1183.46,2022年2季度股票投资明细,001532
84,688356,键凯科技,0.21,4.79,1158.08,2022年2季度股票投资明细,001532
85,000913,钱江摩托,0.2,65.66,1152.99,2022年2季度股票投资明细,001532
86,300144,宋城演艺,0.2,71.76,1101.52,2022年2季度股票投资明细,001532
87,600009,上海机场,0.19,18.67,1058.59,2022年2季度股票投资明细,001532
88,600129,太极集团,0.16,40.84,897.25,2022年2季度股票投资明细,001532
89,300031,宝通科技,0.16,54.99,885.34,2022年2季度股票投资明细,001532
90,300577,开润股份,0.16,54.09,878.91,2022年2季度股票投资明细,001532
91,688234,天岳先进,0.13,10.56,707.73,2022年2季度股票投资明细,001532
92,603558,健盛集团,0.09,42.61,520.69,2022年2季度股票投资明细,001532
93,300315,掌趣科技,0.09,151.32,505.41,2022年2季度股票投资明细,001532
94,688131,皓元医药,0.06,2.22,315.03,2022年2季度股票投资明细,001532
95,300853,申昊科技,0.03,4.83,141.04,2022年2季度股票投资明细,001532
96,300193,佳士科技,0.02,13.99,131.23,2022年2季度股票投资明细,001532
97,000534,万泽股份,0.02,7.42,100.24,2022年2季度股票投资明细,001532
98,301206,三元生物,0.01,0.94,44.6,2022年2季度股票投资明细,001532
99,301207,华兰疫苗,0.01,0.57,33.62,2022年2季度股票投资明细,001532
100,600973,宝胜股份,0.0,2.62,15.17,2022年2季度股票投资明细,001532
101,301117,佳缘科技,0.0,0.26,14.59,2022年2季度股票投资明细,001532
102,301199,迈赫股份,0.0,0.4,12.86,2022年2季度股票投资明细,001532
103,688171,纬德信息,0.0,0.28,6.42,2022年2季度股票投资明细,001532
104,301177,迪阿股份,0.0,0.08,5.88,2022年2季度股票投资明细,001532
105,301219,腾远钴业,0.0,0.06,5.08,2022年2季度股票投资明细,001532
106,301200,大族数控,0.0,0.09,4.45,2022年2季度股票投资明细,001532
107,601089,福元医药,0.0,0.17,3.68,2022年2季度股票投资明细,001532
108,301201,诚达药业,0.0,0.04,2.53,2022年2季度股票投资明细,001532
109,301263,泰恩康,0.0,0.07,2.14,2022年2季度股票投资明细,001532
110,301122,采纳股份,0.0,0.03,2.14,2022年2季度股票投资明细,001532
111,300834,星辉环材,0.0,0.06,1.95,2022年2季度股票投资明细,001532
112,301166,优宁维,0.0,0.03,1.93,2022年2季度股票投资明细,001532
113,301123,奕东电子,0.0,0.08,1.91,2022年2季度股票投资明细,001532
114,301256,华融化学,0.0,0.18,1.85,2022年2季度股票投资明细,001532
115,301103,何氏眼科,0.0,0.05,1.62,2022年2季度股票投资明细,001532
116,301235,华康医疗,0.0,0.04,1.59,2022年2季度股票投资明细,001532
117,301190,善水科技,0.0,0.06,1.52,2022年2季度股票投资明细,001532
118,301189,奥尼电子,0.0,0.04,1.48,2022年2季度股票投资明细,001532
119,301130,西点药业,0.0,0.02,0.89,2022年2季度股票投资明细,001532
120,301228,实朴检测,0.0,0.04,0.76,2022年2季度股票投资明细,001532
121,688385,复旦微电,0.0,0.0,0.18,2022年2季度股票投资明细,001532
122,300438,鹏辉能源,4.7,587.41,27772.77,2022年1季度股票投资明细,001532
123,002245,蔚蓝锂芯,3.99,1047.98,23590.05,2022年1季度股票投资明细,001532
124,300568,星源材质,3.24,506.45,19133.51,2022年1季度股票投资明细,001532
125,601888,中国中免,2.9,104.19,17125.53,2022年1季度股票投资明细,001532
126,300613,富瀚微,2.5,131.75,14747.14,2022年1季度股票投资明细,001532
127,002196,方正电机,2.39,1498.45,14130.34,2022年1季度股票投资明细,001532
128,600216,浙江医药,2.31,875.59,13676.72,2022年1季度股票投资明细,001532
129,002340,格林美,2.14,1506.33,12623.06,2022年1季度股票投资明细,001532
130,600027,华电国际,2.11,3515.83,12446.04,2022年1季度股票投资明细,001532
131,000519,中兵红箭,2.1,551.41,12406.81,2022年1季度股票投资明细,001532
132,600559,老白干酒,1.88,552.16,11098.42,2022年1季度股票投资明细,001532
133,000516,国际医学,1.51,1092.58,8926.34,2022年1季度股票投资明细,001532
134,002935,天奥电子,1.29,246.74,7646.53,2022年1季度股票投资明细,001532
135,002149,西部材料,0.98,459.53,5803.86,2022年1季度股票投资明细,001532
136,688323,瑞华泰,0.78,158.85,4590.74,2022年1季度股票投资明细,001532
137,002765,蓝黛科技,0.76,613.41,4508.56,2022年1季度股票投资明细,001532
